IFBL;ifbluurhok;Xcoord;Ycoord
D211;d2-11;68012.000000;196180.000000
D212;d2-12;72012.000000;196180.000000
D213;d2-13;76012.000000;196180.000000
D214;d2-14;80012.000000;196180.000000
D215;d2-15;84012.000000;196180.000000
D216;d2-16;88012.000000;196180.000000
D217;d2-17;92012.000000;196180.000000
D218;d2-18;96012.000000;196180.000000
D221;d2-21;68012.000000;192180.000000
D222;d2-22;72012.000000;192180.000000
D223;d2-23;76012.000000;192180.000000
D224;d2-24;80012.000000;192180.000000
D225;d2-25;84012.000000;192180.000000
D226;d2-26;88012.000000;192180.000000
D227;d2-27;92012.000000;192180.000000
D228;d2-28;96012.000000;192180.000000
D231;d2-31;68012.000000;188180.000000
D232;d2-32;72012.000000;188180.000000
D233;d2-33;76012.000000;188180.000000
D234;d2-34;80012.000000;188180.000000
D235;d2-35;84012.000000;188180.000000
D236;d2-36;88012.000000;188180.000000
D237;d2-37;92012.000000;188180.000000
D238;d2-38;96012.000000;188180.000000
D241;d2-41;68012.000000;184180.000000
D242;d2-42;72012.000000;184180.000000
D243;d2-43;76012.000000;184180.000000
D244;d2-44;80012.000000;184180.000000
D245;d2-45;84012.000000;184180.000000
D246;d2-46;88012.000000;184180.000000
D247;d2-47;92012.000000;184180.000000
D248;d2-48;96012.000000;184180.000000
D251;d2-51;68012.000000;180180.000000
D252;d2-52;72012.000000;180180.000000
D253;d2-53;76012.000000;180180.000000
D254;d2-54;80012.000000;180180.000000
D255;d2-55;84012.000000;180180.000000
D256;d2-56;88012.000000;180180.000000
D257;d2-57;92012.000000;180180.000000
D258;d2-58;96012.000000;180180.000000
D311;d3-11;100012.000000;196180.000000
D312;d3-12;104012.000000;196180.000000
D313;d3-13;108012.000000;196180.000000
D314;d3-14;112012.000000;196180.000000
D315;d3-15;116012.000000;196180.000000
D316;d3-16;120012.000000;196180.000000
D317;d3-17;124012.000000;196180.000000
D318;d3-18;128012.000000;196180.000000
D321;d3-21;100012.000000;192180.000000
D322;d3-22;104012.000000;192180.000000
D323;d3-23;108012.000000;192180.000000
D324;d3-24;112012.000000;192180.000000
D325;d3-25;116012.000000;192180.000000
D326;d3-26;120012.000000;192180.000000
D327;d3-27;124012.000000;192180.000000
D328;d3-28;128012.000000;192180.000000
D331;d3-31;100012.000000;188180.000000
D332;d3-32;104012.000000;188180.000000
D333;d3-33;108012.000000;188180.000000
D334;d3-34;112012.000000;188180.000000
D335;d3-35;116012.000000;188180.000000
D336;d3-36;120012.000000;188180.000000
D337;d3-37;124012.000000;188180.000000
D338;d3-38;128012.000000;188180.000000
D341;d3-41;100012.000000;184180.000000
D342;d3-42;104012.000000;184180.000000
D343;d3-43;108012.000000;184180.000000
D344;d3-44;112012.000000;184180.000000
D345;d3-45;116012.000000;184180.000000
D346;d3-46;120012.000000;184180.000000
D347;d3-47;124012.000000;184180.000000
D348;d3-48;128012.000000;184180.000000
D351;d3-51;100012.000000;180180.000000
D352;d3-52;104012.000000;180180.000000
D353;d3-53;108012.000000;180180.000000
D354;d3-54;112012.000000;180180.000000
